cvegeo	llamadas_hidroproblemas
0900300011374	2
0900300011389	2
0900300011389	2
0900300011406	6
0900300011406	6
0900300011410	4
0900300011410	4
0900300011425	6
0900300011425	6
090030001143A	12
090030001143A	12
0900300011444	6
0900300011444	6
0900300011459	2
0900300011459	2
0900300011463	2
0900300011463	2
0900300011478	2
0900300011478	2
090030001150A	2
090030001150A	2
0900300011514	2
0900300011514	2
0900300011567	2
0900300011567	2
0900300011618	2
0900300011618	2
0900300011622	2
0900300011622	2
0900300011637	2
0900300011637	2
0900300011641	12
0900300011641	12
0900300011660	6
0900300011660	6
0900300011675	2
0900300011675	2
090030001168A	2
090030001168A	2
0900300011694	2
0900300011694	2
0900300011726	2
0900300011726	2
0900300011745	2
0900300011745	2
090030001175A	2
090030001175A	2
0900300011783	2
0900300011783	2
0900300011798	2
0900300011798	2
090040001002A	4
090040001002A	4
0900400010049	2
0900400010049	2
0900400010119	4
0900400010119	4
0900400010176	4
0900400010176	4
0900400010180	2
0900400010180	2
0900400010195	10
0900400010195	10
0900400010208	2
0900400010208	2
0900400010212	2
0900400010212	2
0900400010227	2
0900400010227	2
0900400010231	4
0900400010231	4
0900400010301	4
0900400010301	4
0900400010354	2
0900400010354	2
0900400010405	4
0900400010405	4
0900400200246	6
0900400200246	6
0900400200316	4
0900400200316	4
090040157	8
090040157	8
0900500010050	2
0900500010050	2
0900500010084	2
0900500010084	2
0900500010101	10
0900500010101	10
0900500010154	12
0900500010154	12
0900500010173	2
0900500010173	2
0900500010192	6
0900500010192	6
0900500010224	2
0900500010224	2
0900500010243	2
0900500010243	2
0900500010277	2
0900500010277	2
0900500010309	2
0900500010309	2
0900500010313	6
0900500010313	6
0900500010351	4
0900500010351	4
090050001039A	4
090050001039A	4
0900500010402	6
0900500010402	6
0900500010417	4
0900500010417	4
0900500010421	6
0900500010421	6
0900500010440	2
0900500010440	2
0900500010489	4
0900500010489	4
0900500010525	2
0900500010525	2
0900500010582	2
0900500010582	2
0900500010597	4
0900500010597	4
090050001060A	4
090050001060A	4
0900500010633	4
0900500010633	4
0900500010703	6
0900500010703	6
0900500010722	4
0900500010722	4
0900500010737	2
0900500010737	2
0900500010741	2
0900500010741	2
0900500010756	2
0900500010756	2
0900500010760	4
0900500010760	4
090050001078A	2
090050001078A	2
0900500010830	2
0900500010830	2
0900500010845	4
0900500010845	4
090050001085A	6
090050001085A	6
0900500010864	2
0900500010864	2
0900500010883	2
0900500010883	2
0900500010898	2
0900500010898	2
0900500010934	2
0900500010934	2
0900500010972	2
0900500010972	2
0900500011025	4
0900500011025	4
090050001103A	2
090050001103A	2
0900500011063	2
0900500011063	2
0900500011129	2
0900500011129	2
0900500011133	4
0900500011133	4
0900500011148	2
0900500011148	2
0900500011167	2
0900500011167	2
0900500011190	2
0900500011190	2
0900500011256	4
0900500011256	4
0900500011260	6
0900500011260	6
0900500011275	4
0900500011275	4
090050001128A	8
090050001128A	8
0900500011294	4
0900500011294	4
0900500011311	2
0900500011311	2
0900500011326	4
0900500011326	4
090050001135A	2
090050001135A	2
0900500011383	2
0900500011383	2
0900500011400	2
0900500011400	2
0900500011415	2
0900500011415	2
090050001142A	4
090050001142A	4
0900500011453	4
0900500011453	4
0900500011468	2
0900500011468	2
0900500011472	2
0900500011472	2
0900500011487	2
0900500011487	2
0900500011523	4
0900500011523	4
0900500011538	4
0900500011538	4
0900500011557	4
0900500011557	4
0900500011561	2
0900500011561	2
0900500011576	2
0900500011576	2
0900500011580	4
0900500011580	4
0900500011608	4
0900500011608	4
0900500011612	2
0900500011612	2
0900500011650	2
0900500011650	2
090050001167A	6
090050001167A	6
0900500011699	2
0900500011699	2
0900500011716	4
0900500011716	4
0900500011720	4
0900500011720	4
0900500011735	8
0900500011735	8
0900500011769	10
0900500011769	10
0900500011773	2
0900500011773	2
0900500011805	2
0900500011805	2
0900500011824	2
0900500011824	2
0900500011839	2
0900500011839	2
0900500011858	2
0900500011858	2
0900500011862	2
0900500011862	2
0900500011881	2
0900500011881	2
0900500011896	2
0900500011896	2
0900500011909	2
0900500011909	2
0900500011985	4
0900500011985	4
0900500012004	4
0900500012004	4
0900500012019	2
0900500012019	2
0900500012038	4
0900500012038	4
0900500012061	2
0900500012061	2
0900500012127	2
0900500012127	2
0900500012131	2
0900500012131	2
0900500012146	2
0900500012146	2
0900500012165	8
0900500012165	8
090050001217A	2
090050001217A	2
0900500012199	4
0900500012199	4
0900500012273	2
0900500012273	2
0900500012288	4
0900500012288	4
0900500012292	2
0900500012292	2
0900500012324	2
0900500012324	2
0900500012343	8
0900500012343	8
0900500012358	2
0900500012358	2
0900500012409	2
0900500012409	2
0900500012432	2
0900500012432	2
0900500012485	4
0900500012485	4
0900500012593	2
0900500012593	2
0900500012644	2
0900500012644	2
0900500012663	2
0900500012663	2
0900500012682	6
0900500012682	6
0900500012697	2
0900500012697	2
0900500012714	2
0900500012714	2
0900500012729	6
0900500012729	6
0900500012841	2
0900500012841	2
0900500012856	4
0900500012856	4
0900500012860	6
0900500012860	6
0900500012875	6
0900500012875	6
0900500012945	2
0900500012945	2
0900500013055	4
0900500013055	4
0900500013089	4
0900500013089	4
0900500013182	2
0900500013182	2
0900500013267	2
0900500013267	2
0900500013290	2
0900500013290	2
0900500013303	2
0900500013303	2
0900500013375	2
0900500013375	2
0900500013407	4
0900500013407	4
0900600010039	2
0900600010039	2
0900600010058	4
0900600010058	4
0900600010132	6
0900600010132	6
0900600010147	2
0900600010147	2
0900600010151	2
0900600010151	2
0900600010166	2
0900600010166	2
0900600010185	2
0900600010185	2
0900600010202	6
0900600010202	6
0900600010221	12
0900600010221	12
0900600010255	2
0900600010255	2
0900600010325	4
0900600010325	4
0900600010363	4
0900600010363	4
0900600010382	4
0900600010382	4
0900600010452	2
0900600010452	2
0900600010467	4
0900600010467	4
0900600010518	8
0900600010518	8
0900600010541	2
0900600010541	2
090060001058A	4
090060001058A	4
0900600010594	4
0900600010594	4
0900600010611	2
0900600010611	2
0900600010679	2
0900600010679	2
0900600010700	2
0900600010700	2
0900600010753	4
0900600010753	4
0900600010772	2
0900600010772	2
0900600010787	2
0900600010787	2
0900600010838	4
0900600010838	4
0900600010842	2
0900600010842	2
0900600010876	2
0900600010876	2
0900600010931	2
0900600010931	2
0900600010950	2
0900600010950	2
0900600010965	6
0900600010965	6
090060001097A	2
090060001097A	2
0900600010984	2
0900600010984	2
0900600011018	4
0900600011018	4
0900600011060	4
0900600011060	4
0900600011107	2
0900600011107	2
0900600011130	2
0900600011130	2
090060001115A	2
090060001115A	2
0900600011198	2
0900600011198	2
0900700010017	2
0900700010017	2
0900700010021	8
0900700010021	8
0900700010036	4
0900700010036	4
0900700010040	2
0900700010040	2
0900700010089	4
0900700010089	4
090070001013A	2
090070001013A	2
0900700010182	6
0900700010182	6
0900700010271	2
0900700010271	2
0900700010286	8
0900700010286	8
0900700010318	2
0900700010318	2
090070001038A	4
090070001038A	4
0900700010411	8
0900700010411	8
0900700010426	2
0900700010426	2
0900700010445	4
0900700010445	4
0900700010464	2
0900700010464	2
0900700010483	4
0900700010483	4
0900700010498	6
0900700010498	6
0900700010500	6
0900700010500	6
0900700010515	6
0900700010515	6
0900700010534	4
0900700010534	4
0900700010568	2
0900700010568	2
0900700010604	2
0900700010604	2
0900700010619	44
0900700010619	44
0900700010623	2
0900700010623	2
0900700010657	4
0900700010657	4
0900700010676	4
0900700010676	4
0900700010680	4
0900700010680	4
0900700010695	4
0900700010695	4
0900700010708	2
0900700010708	2
0900700010727	2
0900700010727	2
0900700010731	4
0900700010731	4
0900700010746	6
0900700010746	6
0900700010750	6
0900700010750	6
0900700010784	8
0900700010784	8
0900700010801	2
0900700010801	2
0900700010820	4
0900700010820	4
090070001084A	2
090070001084A	2
0900700010854	4
0900700010854	4
0900700010905	6
0900700010905	6
0900700010924	2
0900700010924	2
0900700010939	4
0900700010939	4
0900700010943	2
0900700010943	2
0900700010977	6
0900700010977	6
0900700011015	2
0900700011015	2
0900700011034	8
0900700011034	8
0900700011049	2
0900700011049	2
0900700011053	2
0900700011053	2
0900700011087	4
0900700011087	4
0900700011091	4
0900700011091	4
0900700011104	6
0900700011104	6
0900700011138	48
0900700011138	48
0900700011142	2
0900700011142	2
0900700011195	4
0900700011195	4
0900700011208	16
0900700011208	16
0900700011227	2
0900700011227	2
0900700011246	4
0900700011246	4
0900700011265	2
0900700011265	2
090070001127A	2
090070001127A	2
0900700011335	6
0900700011335	6
090070001134A	14
090070001134A	14
0900700011354	2
0900700011354	2
090070001141A	4
090070001141A	4
0900700011439	2
0900700011439	2
0900700011477	2
0900700011477	2
0900700011481	2
0900700011481	2
0900700011509	2
0900700011509	2
0900700011513	12
0900700011513	12
090070001159A	8
090070001159A	8
090070001166A	2
090070001166A	2
0900700011674	2
0900700011674	2
0900700011689	4
0900700011689	4
0900700011710	6
0900700011710	6
0900700011763	8
0900700011763	8
0900700011848	2
0900700011848	2
0900700011852	4
0900700011852	4
0900700011890	2
0900700011890	2
090070001198A	4
090070001198A	4
0900700012085	2
0900700012085	2
0900700012155	2
0900700012155	2
0900700012390	2
0900700012390	2
0900700012456	2
0900700012456	2
0900700012475	8
0900700012475	8
0900700012494	10
0900700012494	10
0900700012507	2
0900700012507	2
0900700012526	4
0900700012526	4
0900700012530	16
0900700012530	16
0900700012545	4
0900700012545	4
090070001255A	8
090070001255A	8
0900700012564	2
0900700012564	2
0900700012600	22
0900700012600	22
0900700012615	2
0900700012615	2
0900700012649	2
0900700012649	2
0900700012687	2
0900700012687	2
0900700012691	2
0900700012691	2
0900700012704	2
0900700012704	2
0900700012738	4
0900700012738	4
0900700012757	6
0900700012757	6
0900700012776	2
0900700012776	2
0900700013026	6
0900700013026	6
0900700013079	8
0900700013079	8
0900700013100	2
0900700013100	2
0900700013219	2
0900700013219	2
0900700013295	2
0900700013295	2
0900700013327	4
0900700013327	4
0900700013488	2
0900700013488	2
0900700013577	6
0900700013577	6
0900700013613	2
0900700013613	2
0900700013651	2
0900700013651	2
0900700013666	2
0900700013666	2
0900700013670	2
0900700013670	2
090070001369A	2
090070001369A	2
0900700013702	2
0900700013702	2
0900700013721	2
0900700013721	2
0900700013740	2
0900700013740	2
0900700013774	2
0900700013774	2
0900700013793	2
0900700013793	2
0900700013806	6
0900700013806	6
090070001390A	2
090070001390A	2
0900700013914	6
0900700013914	6
0900700013986	2
0900700013986	2
0900700014043	2
0900700014043	2
0900700014062	2
0900700014062	2
0900700014081	2
0900700014081	2
0900700014166	6
0900700014166	6
0900700014170	2
0900700014170	2
090070001419A	2
090070001419A	2
0900700014236	2
0900700014236	2
0900700014382	2
0900700014382	2
0900700014664	2
0900700014664	2
0900700014715	6
0900700014715	6
0900700014734	6
0900700014734	6
0900700014749	2
0900700014749	2
0900700014772	2
0900700014772	2
0900700014861	2
0900700014861	2
0900700014876	2
0900700014876	2
0900700014908	6
0900700014908	6
0900700014927	6
0900700014927	6
0900700014965	4
0900700014965	4
090070001497A	2
090070001497A	2
0900700014999	10
0900700014999	10
0900700015003	4
0900700015003	4
0900700015056	6
0900700015056	6
0900700015060	4
0900700015060	4
0900700015107	2
0900700015107	2
0900700015198	2
0900700015198	2
0900700015215	4
0900700015215	4
0900700015272	2
0900700015272	2
0900700015291	2
0900700015291	2
0900700015408	2
0900700015408	2
0900700015427	2
0900700015427	2
0900700015431	2
0900700015431	2
0900700015446	2
0900700015446	2
090070001547A	2
090070001547A	2
0900700015535	4
0900700015535	4
0900700015662	2
0900700015662	2
0900700015709	2
0900700015709	2
0900700015713	2
0900700015713	2
0900700015925	2
0900700015925	2
0900800010086	4
0900800010086	4
0900800010090	2
0900800010090	2
0900800010118	2
0900800010118	2
0900800010122	4
0900800010122	4
0900800010141	4
0900800010141	4
090080001018A	2
090080001018A	2
0900800010194	6
0900800010194	6
0900800010211	4
0900800010211	4
0900800010226	2
0900800010226	2
0900800010230	2
0900800010230	2
0900800010264	2
0900800010264	2
0900800010283	4
0900800010283	4
0900800010315	4
0900800010315	4
0900800010349	2
0900800010349	2
0900800010353	2
0900800010353	2
0900800010387	6
0900800010387	6
0900800010423	2
0900800010423	2
0900800010438	2
0900800010438	2
0900800010457	4
0900800010457	4
0900800010508	2
0900800010508	2
0900800010512	4
0900800010512	4
0900800010527	6
0900800010527	6
0900800010565	4
0900800010565	4
090080001057A	2
090080001057A	2
0900800010599	2
0900800010599	2
090080368	4
090080368	4
0900900010331	2
0900900010331	2
0900900110416	4
0900900110416	4
0900900110435	2
0900900110435	2
090090015012A	4
090090015012A	4
0900900170384	2
0900900170384	2
0900900240577	2
0900900240577	2
090090029044A	2
090090029044A	2
090090100	2
090090100	2
090090539	2
090090539	2
0901000010031	2
0901000010031	2
0901000010050	6
0901000010050	6
0901000010065	2
0901000010065	2
0901000010099	2
0901000010099	2
0901000010116	4
0901000010116	4
0901000010135	8
0901000010135	8
090100001014A	4
090100001014A	4
0901000010173	2
0901000010173	2
0901000010192	4
0901000010192	4
0901000010243	2
0901000010243	2
0901000010281	4
0901000010281	4
0901000010309	2
0901000010309	2
0901000010417	2
0901000010417	2
0901000010421	2
0901000010421	2
0901000010474	2
0901000010474	2
0901000010506	4
0901000010506	4
0901000010525	2
0901000010525	2
0901000010559	2
0901000010559	2
0901000010629	2
0901000010629	2
0901000010648	4
0901000010648	4
0901000010667	2
0901000010667	2
0901000010671	2
0901000010671	2
0901000010690	2
0901000010690	2
0901000010722	2
0901000010722	2
0901000010775	2
0901000010775	2
0901000010811	2
0901000010811	2
0901000010830	4
0901000010830	4
090100001092A	6
090100001092A	6
0901000010953	2
0901000010953	2
0901000010968	2
0901000010968	2
0901000010972	4
0901000010972	4
0901000010987	4
0901000010987	4
0901000010991	12
0901000010991	12
0901000011006	4
0901000011006	4
0901000011010	2
0901000011010	2
0901000011059	4
0901000011059	4
0901000011063	4
0901000011063	4
0901000011114	2
0901000011114	2
0901000011129	4
0901000011129	4
0901000011133	4
0901000011133	4
0901000011148	2
0901000011148	2
0901000011152	4
0901000011152	4
0901000011171	2
0901000011171	2
0901000011222	2
0901000011222	2
0901000011237	2
0901000011237	2
0901000011241	4
0901000011241	4
0901000011260	8
0901000011260	8
0901000011275	4
0901000011275	4
090100001128A	6
090100001128A	6
0901000011294	2
0901000011294	2
0901000011307	22
0901000011307	22
0901000011330	4
0901000011330	4
0901000011345	2
0901000011345	2
090100001135A	2
090100001135A	2
0901000011379	6
0901000011379	6
0901000011434	2
0901000011434	2
0901000011468	4
0901000011468	4
0901000011472	2
0901000011472	2
0901000011580	4
0901000011580	4
0901000011646	2
0901000011646	2
090100001167A	4
090100001167A	4
0901000011684	2
0901000011684	2
0901000011720	2
0901000011720	2
0901000011735	2
0901000011735	2
090100001174A	6
090100001174A	6
0901000011769	4
0901000011769	4
0901000011788	2
0901000011788	2
0901000011881	2
0901000011881	2
0901000011947	2
0901000011947	2
0901000011966	2
0901000011966	2
0901000012076	4
0901000012076	4
0901000012150	2
0901000012150	2
0901000012199	2
0901000012199	2
0901000012269	2
0901000012269	2
0901000012273	2
0901000012273	2
0901000012288	2
0901000012288	2
0901000012362	2
0901000012362	2
090110001001A	2
090110001001A	2
0901100010077	2
0901100010077	2
0901100010132	6
0901100010132	6
0901100010325	2
0901100010325	2
0901100010378	8
0901100010378	8
0901100010382	2
0901100010382	2
090110001040A	4
090110001040A	4
0901100010414	6
0901100010414	6
0901100010452	2
0901100010452	2
0901100010594	2
0901100010594	2
0901100010664	2
0901100010664	2
0901100010772	2
0901100010772	2
0901100010931	4
0901100010931	4
0901100010999	8
0901100010999	8
0901100011056	4
0901100011056	4
0901100011094	2
0901100011094	2
0901100011111	2
0901100011111	2
0901100011249	2
0901100011249	2
0901100011253	2
0901100011253	2
0901100011268	2
0901100011268	2
0901100011357	6
0901100011357	6
0901100011427	2
0901100011427	2
0901100011446	2
0901100011446	2
0901100011450	2
0901100011450	2
0901100011484	2
0901100011484	2
0901100211003	2
0901100211003	2
090110021115A	4
090110021115A	4
0901100260965	2
0901100260965	2
090110026097A	2
090110026097A	2
0901100261164	24
0901100261164	24
090111198	2
090111198	2
0901200010017	4
0901200010017	4
0901200010021	6
0901200010021	6
0901200010040	4
0901200010040	4
0901200010074	8
0901200010074	8
0901200010093	2
0901200010093	2
0901200010182	2
0901200010182	2
090120001020A	2
090120001020A	2
0901200010214	8
0901200010214	8
0901200010233	2
0901200010233	2
0901200010337	2
0901200010337	2
0901200010341	2
0901200010341	2
0901200010375	4
0901200010375	4
090120001038A	4
090120001038A	4
0901200010394	2
0901200010394	2
0901200010407	4
0901200010407	4
0901200010411	10
0901200010411	10
0901200010426	6
0901200010426	6
0901200010430	12
0901200010430	12
0901200010445	2
0901200010445	2
090120001045A	2
090120001045A	2
0901200010479	2
0901200010479	2
0901200010500	2
0901200010500	2
090120001052A	4
090120001052A	4
0901200010549	2
0901200010549	2
0901200010553	2
0901200010553	2
0901200010572	2
0901200010572	2
0901200010619	6
0901200010619	6
0901200010623	14
0901200010623	14
0901200010638	12
0901200010638	12
0901200010642	8
0901200010642	8
0901200010657	2
0901200010657	2
0901200010676	2
0901200010676	2
0901200010680	4
0901200010680	4
0901200010695	2
0901200010695	2
0901200010708	2
0901200010708	2
0901200010784	8
0901200010784	8
0901200010799	10
0901200010799	10
0901200010801	2
0901200010801	2
0901200010820	12
0901200010820	12
0901200010835	24
0901200010835	24
090120001084A	2
090120001084A	2
0901200010869	4
0901200010869	4
0901200010888	2
0901200010888	2
0901200010892	2
0901200010892	2
0901200010924	8
0901200010924	8
0901200010943	2
0901200010943	2
0901200010958	8
0901200010958	8
0901200010962	10
0901200010962	10
0901200010977	8
0901200010977	8
0901200010981	6
0901200010981	6
0901200011015	12
0901200011015	12
090120001102A	4
090120001102A	4
0901200011068	2
0901200011068	2
0901200011072	6
0901200011072	6
0901200011091	2
0901200011091	2
0901200011104	4
0901200011104	4
0901200011119	2
0901200011119	2
0901200011157	2
0901200011157	2
0901200011161	2
0901200011161	2
0901200011195	4
0901200011195	4
0901200011369	4
0901200011369	4
0901200011443	2
0901200011443	2
0901200011458	2
0901200011458	2
0901200011477	2
0901200011477	2
0901200011481	2
0901200011481	2
0901200011602	2
0901200011602	2
0901200011890	2
0901200011890	2
0901200011922	2
0901200011922	2
0901200011937	2
0901200011937	2
0901200011956	20
0901200011956	20
0901200011960	4
0901200011960	4
0901200011975	2
0901200011975	2
0901200012009	2
0901200012009	2
0901200012066	6
0901200012066	6
0901200012070	20
0901200012070	20
0901200012102	2
0901200012102	2
0901200012121	6
0901200012121	6
0901200012193	2
0901200012193	2
0901200012206	2
0901200012206	2
0901200012441	4
0901200012441	4
0901200262297	2
0901200262297	2
0901200271763	2
0901200271763	2
0901200271778	4
0901200271778	4
0901200271797	10
0901200271797	10
090120027180A	2
090120027180A	2
0901200272028	2
0901200272028	2
0901200272032	16
0901200272032	16
090121227	4
090121227	4
090121231	2
090121231	2
090121246	4
090121246	4
090121250	2
090121250	2
0901300010029	12
0901300010029	12
0901300010033	2
0901300010033	2
0901300010052	8
0901300010052	8
0901300010067	2
0901300010067	2
0901300010086	2
0901300010086	2
0901300010090	2
0901300010090	2
0901300010137	4
0901300010137	4
0901300010160	12
0901300010160	12
0901300010175	2
0901300010175	2
090130001018A	2
090130001018A	2
0901300010207	2
0901300010207	2
0901300010211	2
0901300010211	2
0901300010279	2
0901300010279	2
0901300010283	6
0901300010283	6
0901300010298	8
0901300010298	8
090130001032A	2
090130001032A	2
0901300010334	14
0901300010334	14
0901300010368	2
0901300010368	2
0901300010372	2
0901300010372	2
0901300010391	2
0901300010391	2
0901300010419	6
0901300010419	6
0901300010423	2
0901300010423	2
0901300010461	6
0901300010461	6
0901300010527	2
0901300010527	2
0901300010550	2
0901300010550	2
0901300010565	6
0901300010565	6
090130001057A	2
090130001057A	2
0901300010599	4
0901300010599	4
0901300010601	2
0901300010601	2
0901300010692	2
0901300010692	2
0901300010832	2
0901300010832	2
0901300010847	2
0901300010847	2
0901300011027	6
0901300011027	6
0901300011031	2
0901300011031	2
090130001107A	2
090130001107A	2
0901300011135	2
0901300011135	2
0901300011154	26
0901300011154	26
0901300011169	2
0901300011169	2
0901300011188	2
0901300011188	2
0901300011192	2
0901300011192	2
0901300011239	2
0901300011239	2
0901300011243	2
0901300011243	2
0901300011277	2
0901300011277	2
0901300011313	4
0901300011313	4
0901300011366	4
0901300011366	4
0901300011370	4
0901300011370	4
0901300011417	2
0901300011417	2
0901300011421	2
0901300011421	2
0901400010011	4
0901400010011	4
0901400010026	4
0901400010026	4
0901400010030	6
0901400010030	6
090140001005A	6
090140001005A	6
0901400010079	2
0901400010079	2
0901400010083	2
0901400010083	2
0901400010100	2
0901400010100	2
0901400010115	4
0901400010115	4
090140001012A	4
090140001012A	4
0901400010134	8
0901400010134	8
0901400010149	8
0901400010149	8
0901400010153	6
0901400010153	6
0901400010168	2
0901400010168	2
0901400010172	4
0901400010172	4
0901400010187	2
0901400010187	2
0901400010219	4
0901400010219	4
0901400010223	6
0901400010223	6
0901400010238	2
0901400010238	2
0901400010242	4
0901400010242	4
0901400010257	4
0901400010257	4
0901400010276	2
0901400010276	2
0901400010280	6
0901400010280	6
0901400010295	2
0901400010295	2
0901400010331	2
0901400010331	2
0901400010346	2
0901400010346	2
0901400010350	4
0901400010350	4
090140001037A	2
090140001037A	2
0901400010399	6
0901400010399	6
0901400010401	2
0901400010401	2
0901400010416	2
0901400010416	2
0901400010420	8
0901400010420	8
0901400010435	6
0901400010435	6
090140001044A	6
090140001044A	6
0901400010473	6
0901400010473	6
0901400010505	6
0901400010505	6
090140001051A	2
090140001051A	2
0901400010524	2
0901400010524	2
0901400010539	2
0901400010539	2
0901400010577	6
0901400010577	6
0901400010581	2
0901400010581	2
0901400010596	2
0901400010596	2
0901400010613	8
0901400010613	8
0901400010628	12
0901400010628	12
0901400010632	14
0901400010632	14
0901400010647	4
0901400010647	4
0901400010651	8
0901400010651	8
0901400010666	10
0901400010666	10
0901400010685	4
0901400010685	4
0901400010717	4
0901400010717	4
0901400010736	8
0901400010736	8
0901400010740	8
0901400010740	8
0901400010755	4
0901400010755	4
090140001076A	12
090140001076A	12
0901400010774	14
0901400010774	14
0901400010789	4
0901400010789	4
0901400010793	4
0901400010793	4
0901400010806	2
0901400010806	2
0901400010825	2
0901400010825	2
090140001083A	2
090140001083A	2
0901400010844	2
0901400010844	2
0901400010859	4
0901400010859	4
0901400010863	12
0901400010863	12
0901400010878	6
0901400010878	6
090140001090A	8
090140001090A	8
0901400010914	4
0901400010914	4
0901400010929	2
0901400010929	2
0901400010933	2
0901400010933	2
0901400010948	4
0901400010948	4
0901400010952	2
0901400010952	2
0901400010971	6
0901400010971	6
0901400010986	14
0901400010986	14
0901400010990	8
0901400010990	8
0901400011005	34
0901400011005	34
0901400011024	2
0901400011024	2
0901500010019	2
0901500010019	2
0901500010023	4
0901500010023	4
0901500010042	12
0901500010042	12
0901500010057	6
0901500010057	6
0901500010076	4
0901500010076	4
0901500010080	4
0901500010080	4
0901500010095	2
0901500010095	2
0901500010112	2
0901500010112	2
0901500010127	2
0901500010127	2
0901500010165	4
0901500010165	4
0901500010199	2
0901500010199	2
0901500010201	2
0901500010201	2
0901500010273	2
0901500010273	2
0901500010324	2
0901500010324	2
0901500010339	4
0901500010339	4
0901500010343	2
0901500010343	2
0901500010358	2
0901500010358	2
0901500010381	2
0901500010381	2
0901500010409	2
0901500010409	2
0901500010466	2
0901500010466	2
0901500010470	4
0901500010470	4
0901500010485	10
0901500010485	10
090150001049A	2
090150001049A	2
0901500010502	4
0901500010502	4
0901500010536	2
0901500010536	2
0901500010540	6
0901500010540	6
090150001056A	2
090150001056A	2
0901500010574	8
0901500010574	8
0901500010593	2
0901500010593	2
0901500010606	4
0901500010606	4
0901500010610	6
0901500010610	6
0901500010625	4
0901500010625	4
090150001063A	8
090150001063A	8
0901500010644	8
0901500010644	8
0901500010663	4
0901500010663	4
0901500010678	6
0901500010678	6
0901500010682	6
0901500010682	6
0901500010697	2
0901500010697	2
090150001070A	4
090150001070A	4
0901500010714	4
0901500010714	4
0901500010733	4
0901500010733	4
0901500010752	2
0901500010752	2
0901500010767	4
